

mysql> select * from language order by name;
+-------------+----------+---------------------+
| language_id | name     | last_update         |
+-------------+----------+---------------------+
|           1 | English  | 2006-02-15 05:02:19 |
|           5 | French   | 2006-02-15 05:02:19 |
|           6 | German   | 2006-02-15 05:02:19 |
|           2 | Italian  | 2006-02-15 05:02:19 |
|           3 | Japanese | 2006-02-15 05:02:19 |
|           4 | Mandarin | 2006-02-15 05:02:19 |
+-------------+----------+---------------------+
6 rows in set (0.00 sec)

mysql> select * FROM actor WHERE last_name = 'Temple';
+----------+------------+-----------+---------------------+
| actor_id | first_name | last_name | last_update         |
+----------+------------+-----------+---------------------+
|       53 | MENA       | TEMPLE    | 2006-02-15 04:34:33 |
|      149 | RUSSELL    | TEMPLE    | 2006-02-15 04:34:33 |
|      193 | BURT       | TEMPLE    | 2006-02-15 04:34:33 |
|      200 | THORA      | TEMPLE    | 2006-02-15 04:34:33 |
+----------+------------+-----------+---------------------+
4 rows in set (0.01 sec)

mysql> select last_name,first_name FROM actor JOIN film_actor ON actor.actor_id=film_actor.actor_id JOIN film ON film_actor.film_id=film.film_id WHERE title='Ghost Groundhog';
+-----------+------------+
| last_name | first_name |
+-----------+------------+
| HARRIS    | DAN        |
| TORN      | KENNETH    |
| GARLAND   | KEVIN      |
| TEMPLE    | RUSSELL    |
| BALL      | RENEE      |
+-----------+------------+
5 rows in set (0.00 sec)

mysql> select COUNT(name) FROM category JOIN film_category ON category.category_id=film_category.category_id JOIN film ON film_category.film_id=film.film_id;
+-------------+
| COUNT(name) |
+-------------+
|        1000 |
+-------------+
1 row in set (0.01 sec)

mysql> select * FROM film JOIN film_category ON film.film_id=film_category.film_id JOIN category ON film_category.category_id=category.category_id WHERE name = 'Horror';
+---------+-----------------------------+--------------------------------------------------------------------------------------------------------------------------------+--------------+-------------+----------------------+-----------------+-------------+--------+------------------+--------+--------------------------------------------------------+---------------------+---------+-------------+---------------------+-------------+--------+---------------------+
| film_id | title                       | description                                                                                                                    | release_year | language_id | original_language_id | rental_duration | rental_rate | length | replacement_cost | rating | special_features                                       | last_update         | film_id | category_id | last_update         | category_id | name   | last_update         |
+---------+-----------------------------+--------------------------------------------------------------------------------------------------------------------------------+--------------+-------------+----------------------+-----------------+-------------+--------+------------------+--------+--------------------------------------------------------+---------------------+---------+-------------+---------------------+-------------+--------+---------------------+
|       2 | ACE GOLDFINGER              | A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China                           |         2006 |           1 |                 NULL |               3 |        4.99 |     48 |            12.99 | G      | Trailers,Deleted Scenes                                | 2006-02-15 05:03:42 |       2 |          11 | 2006-02-15 05:07:09 |          11 | Horror | 2006-02-15 04:46:27 |
|       4 | AFFAIR PREJUDICE            | A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank                                   |         2006 |           1 |                 NULL |               5 |        2.99 |    117 |            26.99 | G      | Commentaries,Behind the Scenes                         | 2006-02-15 05:03:42 |       4 |          11 | 2006-02-15 05:07:09 |          11 | Horror | 2006-02-15 04:46:27 |
|       8 | AIRPORT POLLOCK             | A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India                                                  |         2006 |           1 |                 NULL |               6 |        4.99 |     54 |            15.99 | R      | Trailers                                               | 2006-02-15 05:03:42 |       8 |          11 | 2006-02-15 05:07:09 |          11 | Horror | 2006-02-15 04:46:27 |
|       9 | ALABAMA DEVIL               | A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat            |         2006 |           1 |                 NULL |               3 |        2.99 |    114 |            21.99 | PG-13  | Trailers,Deleted Scenes                                | 2006-02-15 05:03:42 |       9 |          11 | 2006-02-15 05:07:09 |          11 | Horror | 2006-02-15 04:46:27 |
|      13 | ALI FOREVER                 | A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies                          |         2006 |           1 |                 NULL |               4 |        4.99 |    150 |            21.99 | PG     | Deleted Scenes,Behind the Scenes                       | 2006-02-15 05:03:42 |      13 |          11 | 2006-02-15 05:07:09 |          11 | Horror | 2006-02-15 04:46:27 |
|      24 | ANALYZE HOOSIERS            | A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert                         |         2006 |           1 |                 NULL |               6 |        2.99 |    181 |            19.99 | R      | Trailers,Behind the Scenes                             | 2006-02-15 05:03:42 |      24 |          11 | 2006-02-15 05:07:09 |          11 | Horror | 2006-02-15 04:46:27 |
|      30 | ANYTHING SAVANNAH           | A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House                                  |         2006 |           1 |                 NULL |               4 |        2.99 |     82 |            27.99 | R      | Trailers,Deleted Scenes,Behind the Scenes              | 2006-02-15 05:03:42 |      30 |          11 | 2006-02-15 05:07:09 |          11 | Horror | 2006-02-15 04:46:27 |
|      34 | ARABIA DOGMA                | A Touching Epistle of a Madman And a Mad Cow who must Defeat a Student in Nigeria                                              |         2006 |           1 |                 NULL |               6 |        0.99 |     62 |            29.99 | NC-17  | Commentaries,Deleted Scenes                            | 2006-02-15 05:03:42 |      34 |          11 | 2006-02-15 05:07:09 |          11 | Horror | 2006-02-15 04:46:27 |
|      35 | ARACHNOPHOBIA ROLLERCOASTER | A Action-Packed Reflection of a Pastry Chef And a Composer who must Discover a Mad Scientist in The First Manned Space Station |         2006 |           1 |                 NULL |               4 |        2.99 |    147 |            24.99 | PG-13  | Trailers,Deleted Scenes,Behind the Scenes              | 2006-02-15 05:03:42 |      35 |          11 | 2006-02-15 05:07:09 |          11 | Horror | 2006-02-15 04:46:27 |
|      65 | BEHAVIOR RUNAWAY            | A Unbelieveable Drama of a Student And a Husband who must Outrace a Sumo Wrestler in Berlin                                    |         2006 |           1 |                 NULL |               3 |        4.99 |    100 |            20.99 | PG     | Trailers,Deleted Scenes,Behind the Scenes              | 2006-02-15 05:03:42 |      65 |          11 | 2006-02-15 05:07:09 |          11 | Horror | 2006-02-15 04:46:27 |
